aay	0.9120580321003964	0.0
Ama	0.963438951647361	0.0
Ance	0.7666371933066282	0.0
Antp	0.8777887286113866	0.0
apt	0.9308221217510804	0.0
Blimp-1	0.8401567093010196	0.0
bmm	0.9151127932790464	0.0
bowl	0.7835688335185705	0.0
brk	0.8661839511838172	0.0
Btk29A	0.9480928962310972	0.0
bun	0.8780333875850245	0.0
cad	0.779479589252938	0.0
CenG1A	0.899486459645912	0.0
CG10479	0.8075333009864176	0.0
CG11208	0.919365748392337	0.0
CG14427	0.8975200378577167	0.0
CG17724	0.9014923057589656	0.0
CG17786	0.8908208806742174	0.0
CG43394	0.916449262198747	0.0
CG8147	0.9102375158206794	0.0
cnc	0.9254969439583794	0.0
croc	0.9410409623243465	0.0
Cyp310a1	0.8613802164559069	0.0
D	0.9040363569044118	0.0
dan	0.9365484444006661	0.0
danr	0.9443676902941381	0.0
Dfd	0.9443656388641349	0.0
disco	0.9096154256011633	0.0
Doc2	0.8790506808149888	0.0
Doc3	0.8764037002824656	0.0
dpn	0.7439626479526642	0.0
edl	0.8146132418415066	0.0
ems	0.9102893793107548	0.0
erm	0.7414593343276884	0.0
Esp	0.8179688055786541	0.0
E(spl)m5-HLH	0.800289453836559	0.0
eve	0.8180537657324694	0.0
exex	0.8857783566104972	0.0
fj	0.8505647601546873	0.0
fkh	0.9853559928672181	0.0
ftz	0.8311888411635951	0.0
gk	0.9483422325632103	0.0
gt	0.9313241208675527	0.0
h	0.7032973435573028	0.0
hb	0.9588451107895389	0.0
hkb	0.9480806535474973	0.0
htl	0.9823104052483198	0.0
Ilp4	0.9833928773788296	0.0
ImpE2	0.9727211723496832	0.0
ImpL2	0.8522073190436724	0.0
ken	0.8836470396351171	0.0
kni	0.9544183528595697	0.0
knrl	0.9694447391274793	0.0
Kr	0.9733930652858762	0.0
lok	0.9338525027961225	0.0
Mdr49	0.9089138938226856	0.0
Mes2	0.9671355233003899	0.0
MESR3	0.8779127226675557	0.0
mfas	0.8416736067504355	0.0
Nek2	0.8115752329739373	0.0
NetA	0.9800596717951172	0.0
noc	0.9302512787277849	0.0
nub	0.9599359390341426	0.0
numb	0.9294726013406303	0.0
oc	0.9628781593236333	0.0
odd	0.7708736650402135	0.0
peb	0.8496603483468307	0.0
prd	0.8071842536000112	0.0
pxb	0.7595614657331332	0.0
rau	0.9307624663989584	0.0
rho	0.8988241505507648	0.0
run	0.8044261846954931	0.0
sna	0.9879840307847829	0.0
srp	0.9509953069523022	0.0
tkv	0.8859970400216425	0.0
tll	0.9770661933629677	0.0
toc	0.8021040210712465	0.0
Traf4	0.7751326642101631	0.0
trn	0.7290723124189963	0.0
tsh	0.979530756083381	0.0
twi	0.9854604876635843	0.0
zen	0.8707668619706245	0.0
zen2	0.6319619571360527	0.0
zfh1	0.7302923407294666	0.0
